
Solution:
r_vk	day	vehicle	k	a_k_1	a_k_2	a_k_3	a_k_4	a_k_5	a_k_6	a_k_7	a_k_8	a_k_9	a_k_10	a_k_11	a_k_12	a_k_13	
0.697468	2	1	13	0	0	0	0	0	2	0	0	0	0	0	0	0
1	2	3	13	0	0	0	0	0	2	0	0	0	0	0	0	0
0.152545	2	4	13	0	0	0	0	0	2	0	0	0	0	0	0	0
0.324986	2	6	13	0	0	0	0	0	2	0	0	0	0	0	0	0
1	2	7	13	0	0	0	0	0	2	0	0	0	0	0	0	0
0.35014	1	2	15	0	0	2	0	0	0	0	0	0	0	0	0.929293	0
1	6	1	25	0	0	0	0.874396	0	0	0	0	0	0	2	0	0
1	6	2	25	0	0	0	0.874396	0	0	0	0	0	0	2	0	0
1	6	3	25	0	0	0	0.874396	0	0	0	0	0	0	2	0	0
1	6	4	25	0	0	0	0.874396	0	0	0	0	0	0	2	0	0
1	6	5	25	0	0	0	0.874396	0	0	0	0	0	0	2	0	0
0.69	6	7	25	0	0	0	0.874396	0	0	0	0	0	0	2	0	0
0.00746832	6	7	32	0	0	0	0	0	0	0	0	2	0	0	0	0
1	7	1	34	0	0	0	0	0	0	0	2	0	0	0	0	0
1	7	3	34	0	0	0	0	0	0	0	2	0	0	0	0	0
0.492532	7	5	34	0	0	0	0	0	0	0	2	0	0	0	0	0
1	7	2	35	0	2	0	0	0	0	0	0	0	0	0	0	0
1	7	4	35	0	2	0	0	0	0	0	0	0	0	0	0	0
0.204937	7	5	35	0	2	0	0	0	0	0	0	0	0	0	0	0
1	7	6	35	0	2	0	0	0	0	0	0	0	0	0	0	0
0.277609	8	1	36	0	0	0	0	0	0	2	0	0	0	0	0	0
0.697468	8	4	36	0	0	0	0	0	0	2	0	0	0	0	0	0
0.722391	8	1	37	3.95008e-09	0	2	0.845411	0	0	0	0	0	0	0	0	-7.26753e-09
1	8	2	37	3.95008e-09	0	2	0.845411	0	0	0	0	0	0	0	0	-7.26753e-09
1	8	3	37	3.95008e-09	0	2	0.845411	0	0	0	0	0	0	0	0	-7.26753e-09
1	8	5	37	3.95008e-09	0	2	0.845411	0	0	0	0	0	0	0	0	-7.26753e-09
1	8	8	37	3.95008e-09	0	2	0.845411	0	0	0	0	0	0	0	0	-7.26753e-09
1	9	2	38	0	0	0	0	0	0	0	0	2	0	0	0	0
1	9	3	38	0	0	0	0	0	0	0	0	2	0	0	0	0
0.432532	9	5	38	0	0	0	0	0	0	0	0	2	0	0	0	0
0.697468	9	4	39	0	0	0	0	0	0	0	2	0	0	0	0	0
1	10	1	44	0	0	0	0	0	0	2	0	0	0	0	0	0
0.889923	10	7	44	0	0	0	0	0	0	2	0	0	0	0	0	0
0.847455	2	4	45	0	0	0	0	0	0	0	0	0	0	0	0	2
1	2	5	45	0	0	0	0	0	0	0	0	0	0	0	0	2
1	3	1	47	0	2	0	0	0	0	0	0	0	0	0	0	0
1	3	2	47	0	2	0	0	0	0	0	0	0	0	0	0	0
1	3	3	47	0	2	0	0	0	0	0	0	0	0	0	0	0
1	3	4	47	0	2	0	0	0	0	0	0	0	0	0	0	0
0.697468	3	5	47	0	2	0	0	0	0	0	0	0	0	0	0	0
1	3	8	47	0	2	0	0	0	0	0	0	0	0	0	0	0
0.807545	10	2	48	0	0	0	0	0	0	0	0	0	0	0	0	2
1	10	3	48	0	0	0	0	0	0	0	0	0	0	0	0	2
1	10	4	48	0	0	0	0	0	0	0	0	0	0	0	0	2
1	10	5	48	0	0	0	0	0	0	0	0	0	0	0	0	2
0.712595	4	3	49	0	2	0	0	0	0	0	0	0	0	0	0	0
0.770127	1	1	50	0	0	0	0	0	0	0	0	0	2	0	0	0
0.202404	1	2	50	0	0	0	0	0	0	0	0	0	2	0	0	0
1	1	4	50	0	0	0	0	0	0	0	0	0	2	0	0	0
1	1	5	50	0	0	0	0	0	0	0	0	0	2	0	0	0
1	1	6	50	0	0	0	0	0	0	0	0	0	2	0	0	0
1	1	7	50	0	0	0	0	0	0	0	0	0	2	0	0	0
0.144924	1	3	51	2	0	0	0.879227	0	0	0	0	0	0	0	0	0
0.38024	4	2	54	1.1066	0	0	0	2	0	0	0	0	0	0	0	0
0.287405	4	3	54	1.1066	0	0	0	2	0	0	0	0	0	0	0	0
0.697468	4	8	54	1.1066	0	0	0	2	0	0	0	0	0	0	0	0
1	4	1	55	2	0	0	0.879227	0	0	0	0	0	0	0	0	0
0.61976	4	2	55	2	0	0	0.879227	0	0	0	0	0	0	0	0	0
1	4	4	55	2	0	0	0.879227	0	0	0	0	0	0	0	0	0
1	4	7	55	2	0	0	0.879227	0	0	0	0	0	0	0	0	0
1	5	1	56	0	0	2	0	0	0	0	0	0	0	0	0.929293	0
1	5	2	56	0	0	2	0	0	0	0	0	0	0	0	0.929293	0
1	5	3	56	0	0	2	0	0	0	0	0	0	0	0	0.929293	0
0.697468	5	4	56	0	0	2	0	0	0	0	0	0	0	0	0.929293	0
1	5	6	56	0	0	2	0	0	0	0	0	0	0	0	0.929293	0
1	5	8	56	0	0	2	0	0	0	0	0	0	0	0	0.929293	0
1	9	1	57	0	0	0	0	0	0	0	0	0	2	0	0	0
0.567468	9	5	57	0	0	0	0	0	0	0	0	0	2	0	0	0
1	9	6	57	0	0	0	0	0	0	0	0	0	2	0	0	0
0.229873	1	1	58	0	0	0	1.09662	2	0	0	0	0	0	0	0	0
0.675014	2	6	59	0	0	0	1.09662	2	0	0	0	0	0	0	0	0
