D	10
c_h	10
c_vch	100
T	7.5
L	2
vehicles	8
max_visists	3

nb_customers	13

name	t_dep	t_disp	t_disp_dep	t_unl	t_trip1	t_trip2	Q	s
A	0.43	0.26	0.30	0.25	1.24	0.77	9.04	1.97
B	0.24	0.49	0.30	0.25	1.28	1.23	19.23	2.22
C	0.62	0.47	0.30	0.25	1.63	1.18	21.54	1.80
D	0.20	0.22	0.30	0.25	0.97	0.69	13.27	2.07
E	0.27	0.27	0.30	0.25	1.09	0.80	4.54	1.73
F	0.33	0.41	0.30	0.25	1.30	1.08	6.35	2.68
G	0.50	0.43	0.30	0.25	1.48	1.10	5.73	2.17
H	0.33	0.35	0.30	0.25	1.23	0.95	6.38	2.30
I	0.33	0.51	0.30	0.25	1.39	1.26	4.88	2.26
J	0.45	0.37	0.30	0.25	1.37	0.98	15.08	2.16
K	0.50	0.33	0.30	0.25	1.38	0.92	11.38	1.90
L	0.07	0.26	0.30	0.25	0.88	0.77	5.62	1.98
M	0.25	0.38	0.30	0.25	1.18	1.02	11.31	2.15

