name	PCa
D	20
c_h	10
c_veh	100
T	7.5
L	8.8
vehicles	15
max_visists	3

nb_customers	29

name	t_dep	t_disp	t_disp_dep	t_unl	t_trip1	t_trip2	Q	s
AA	0.65	0.55	0.48	0.25	1.93	1.35	44.17	0.35
AB	0.97	1.05	0.48	0.25	2.75	2.35	13.75	0.52
AC	0.47	0.37	0.48	0.25	1.57	0.98	67.92	0.48
AD	0.62	0.78	0.48	0.25	2.13	1.82	98.33	0.28
AE	0.43	0.42	0.48	0.25	1.58	1.08	42.50	0.48
AF	0.23	0.32	0.48	0.25	1.28	0.88	214.17	0.44
AG	0.45	0.60	0.48	0.25	1.78	1.45	45.83	0.47
AH	0.60	0.67	0.48	0.25	2.00	1.58	198.33	0.39
AI	0.28	0.40	0.48	0.25	1.42	1.05	152.50	0.37
AJ	0.35	0.50	0.48	0.25	1.58	1.25	31.33	0.52
AK	0.45	0.48	0.48	0.25	1.67	1.22	59.83	0.65
AL	0.92	1.05	0.48	0.25	2.70	2.35	100.83	0.50
AM	0.47	0.60	0.48	0.25	1.80	1.45	49.17	0.47
AN	0.28	0.53	0.48	0.25	1.55	1.32	75.00	0.52
AO	0.27	0.33	0.48	0.25	1.33	0.92	64.67	0.49
AP	0.50	0.85	0.48	0.25	2.08	1.95	89.17	0.43
AQ	0.27	0.22	0.48	0.25	1.22	0.68	53.33	0.45
AR	0.67	0.75	0.48	0.25	2.15	1.75	48.58	0.47
AS	0.45	0.22	0.48	0.25	1.40	0.68	122.00	0.58
AT	0.48	0.53	0.48	0.25	1.75	1.32	117.92	0.38
AU	0.13	0.48	0.48	0.25	1.35	1.22	62.50	0.29
AV	0.60	0.60	0.48	0.25	1.93	1.45	69.17	0.41
AW	0.73	1.05	0.48	0.25	2.52	2.35	68.83	0.51
AX	0.48	0.43	0.48	0.25	1.65	1.12	40.00	0.54
AY	0.77	0.90	0.48	0.25	2.40	2.05	44.17	0.40
AZ	0.55	0.78	0.48	0.25	2.07	1.82	216.67	0.34
BA	0.42	0.65	0.48	0.25	1.80	1.55	27.92	0.37
BB	0.52	0.72	0.48	0.25	1.97	1.68	69.17	0.37
BC	0.22	0.37	0.48	0.25	1.32	0.98	117.50	0.44


