
x_tmdw  (opgehaalde hoeveelheid)
GFT, Z1, dinsdag, week 2: x = 0.2
GFT, Z2, vrijdag, week 2: x = 1
GFT, Z3, dinsdag, week 2: x = 0.3
GFT, Z4, woensdag, week 2: x = 1
GFT, Z5, donderdag, week 2: x = 0.4
GFT, Z6, dinsdag, week 2: x = 0.2
GFT, Z7, donderdag, week 2: x = 0.8
GFT, Z8, vrijdag, week 2: x = 1
GFT, Z9, woensdag, week 2: x = 0.2
GFT, Z10, vrijdag, week 2: x = 0.7
GFT, Z11, vrijdag, week 2: x = 1
GFT, Z12, donderdag, week 2: x = 0.6
GFT, Z13, woensdag, week 2: x = 0.2
GFT, Z14, woensdag, week 2: x = 0.2
GFT, Z15, donderdag, week 2: x = 0.4
GFT, Z16, dinsdag, week 2: x = 0.4
GFT, Z17, donderdag, week 2: x = 0.3
GFT, Z18, vrijdag, week 2: x = 1
GFT, Z19, woensdag, week 2: x = 0.7
GFT, Z20, vrijdag, week 2: x = 1
GFT, Z21, maandag, week 2: x = 0.9
GFT, Z22, donderdag, week 2: x = 0.4
GFT, Z23, donderdag, week 2: x = 0.9
GFT, Z24, maandag, week 2: x = 0.5
GFT, Z25, vrijdag, week 2: x = 0.4
GFT, Z26, vrijdag, week 2: x = 0.9
GFT, Z27, donderdag, week 2: x = 0.9
GFT, Z28, donderdag, week 2: x = 0.6
GFT, Z29, dinsdag, week 2: x = 0.6
GFT, Z30, maandag, week 2: x = 0.5
GFT, Z31, donderdag, week 2: x = 0.2
GFT, Z32, maandag, week 2: x = 0.6
GFT, Z33, vrijdag, week 2: x = 0.8
GFT, Z34, maandag, week 2: x = 0.7
GFT, Z35, donderdag, week 2: x = 0.5
GFT, Z36, woensdag, week 2: x = 0.8
GFT, Z37, donderdag, week 2: x = 0.4
GFT, Z38, dinsdag, week 2: x = 0.8
GFT, Z39, woensdag, week 2: x = 0.6
GFT, Z40, dinsdag, week 2: x = 0.8
GFT, Z41, donderdag, week 2: x = 0.6
restafval, Z1, dinsdag, week 1: x = 1.7
restafval, Z2, vrijdag, week 1: x = 2.3
restafval, Z3, dinsdag, week 1: x = 2.5
restafval, Z4, woensdag, week 1: x = 2.5
restafval, Z5, donderdag, week 1: x = 1.2
restafval, Z6, dinsdag, week 1: x = 1.4
restafval, Z7, donderdag, week 1: x = 0.5
restafval, Z8, vrijdag, week 1: x = 1.4
restafval, Z9, woensdag, week 1: x = 0.5
restafval, Z10, vrijdag, week 1: x = 1.6
